Fri Apr 04 13:08:48 +0000 2014,452070279930712065,"RT @sprotiv: Из партии регионов 6 нелюстрированных кандидатов
#Крым #Майдан #Євромайдан #Euromaidan #Єврореволюція #Ukraine http://t.co/AFK…",,Караганда,janatkassimchja
Fri Apr 04 13:08:48 +0000 2014,452070280006230016,@McDoArnaud un sujet qui ne peut que t'intéresser : http://t.co/7FVxdyE7b8 il y a @clementzampa (@afpfr) qui le livetweet.,,Tours,freshcuppajoe_
Fri Apr 04 13:08:49 +0000 2014,452070282887700480,RT @anti_maydan: #Харьков #Крым #Киев #Украина #Донецк #Москве #Ukraine #Одесса #Россия #СМИ #США #СНГ #антимайдан #Crimea #Путин http://t.…,,Moscow,nbnSlider
Fri Apr 04 13:08:49 +0000 2014,452070284678660097,RT @josephjett: McDonald's quits Crimea as fears of trade clash grow  via @josephjett #business http://t.co/CF62WNSWji,,,DHandley2
Fri Apr 04 13:08:49 +0000 2014,452070286058606594,RT @IRIglobal: “Results are in stark contrast to the alleged 97% of voters in #Crimea who ‘voted’ to join Russia” - @AmbassadorGreen http:/…,,DC,ThomasEGarrett
Fri Apr 04 13:08:50 +0000 2014,452070286998118400,Helix S01E08 1080p WEB-DL DD5 1 H 264-KiNGS http://t.co/RRnWNoW1iW,,,voxadetuvumi
Fri Apr 04 13:08:50 +0000 2014,452070287929249792,"La Russia e Eurasia, официально существовало в мире вплоть до 1980 года.",,,wokonparis
Fri Apr 04 13:08:50 +0000 2014,452070287765278720,(#olle_Lindo) Crimea dice que podrá pasar sin McDonald’s tras el cierre de sus restaurantes: MOS... http://t.co/OXMKrETn1l (#olle_Lindo),,FACEBOOK OFICIIAR ,olle_bonitillo
Fri Apr 04 13:08:50 +0000 2014,452070288016957440,"@Shurvanovna @ThomasMilne @haloefekti @HWinckelmann I'm not taking sides, Russia no more or less belligerent than other powers of the region",,,Honxqp
Fri Apr 04 13:08:53 +0000 2014,452070299140636672,"Farnesina, Mogherini: non costringere l’Ucraina a scegliere tra noi e la Russia http://t.co/SGB89MrDt9",,Italia,fainfoesteri
Fri Apr 04 13:08:53 +0000 2014,452070299165413376,(#olle_Lindo) Crimea dice que podrá pasar sin McDonald’s tras el cierre de sus restaurantes: MOS... http://t.co/InxzSEuAa6 (#olle_Lindo),,FACEBOOK OFICIIAR ,olle_bonitillo
Fri Apr 04 13:08:53 +0000 2014,452070299534520321,"#POTUS Discusses #Immigration, Ukraine With @SpeakerBoehner http://t.co/955GHzTl5F via @rollcall #TimeIsNow #TNTweeters #latism",,Ohio,IsabelFramer
Fri Apr 04 13:08:53 +0000 2014,452070301572952064,"Iraq has just ordered two thousand septic tanks from Russia. As soon as the Iraqis learn to drive them, they are going to invade Iran.",,,TomasaTousley81
Fri Apr 04 13:08:54 +0000 2014,452070303406260224,RT @josephjett: McDonald's quits Crimea as fears of trade clash grow  via @josephjett #business http://t.co/CF62WNSWji,,,HsienEhr
Fri Apr 04 13:08:54 +0000 2014,452070303871811584,"RT @Ukrainolution: Russia or not, if McDonalds can’t figure out away to do business in your economic environment, you’re fucked.
#Ukraine #…",,"Vilnius, Lithuania",Baltic_American
Fri Apr 04 13:08:55 +0000 2014,452070308733009920,RT @sandybodnar: Віче Майдана = пряма демократія: http://t.co/YlAEGo11wO via @YouTube Ukraine 10 yrs ago with same politicians coming out n…,,"Saint-Lambert, Québec (Canada)",7PinkPanther7
Fri Apr 04 13:08:55 +0000 2014,452070309680914432,"RT @Daddy_Twizzler: Sitting in this room, playing Russia. Roulette, finger on the trigger to my dear Juliet.",,,OleshMatt
Fri Apr 04 13:08:56 +0000 2014,452070312965074944,Russian boomerang: #Russia's aggression complicates a deal to buy French-designed military warships. Via @CNN http://t.co/CZ7lxaGnhR #Crimea,,"Washington, DC",MDFoundation
Fri Apr 04 13:08:57 +0000 2014,452070317448372226,"RT @compassiom: 《RUSSIA》《IRAN》《CHINA》
PLEASE~END~ASSAD~REGIME Слушайте человечества به بشریت گوش دادن  聽人性化。~~ HUMANITY @tintin1957 http://…",,"Ravenna, Ohio ",jennight21
Fri Apr 04 13:08:57 +0000 2014,452070318631550976,Our Politicians thinking about #Russia #Ukraine #china instead of #jobs #foodsecurity #health #overtime for citizens who elected them.,,Non-Interventionism Democrat,SIXgunBANDIDO
Fri Apr 04 13:08:57 +0000 2014,452070319558103040,Мені подобається відео @YouTube Maria Yaremchuk - Tick-Tock (Ukraine) 2014 Eurovision Song Contest,,,acoldomasov
Fri Apr 04 13:09:00 +0000 2014,452070330077839360,"RT @20committee: Russia to return the ships it stole from Ukrainian Navy, starting with corvette Ternopil, which will set out for Odessa so…",,"Vilnius, Lithuania",Baltic_American
Fri Apr 04 13:09:00 +0000 2014,452070330258194432,"#Putim 's patriotism is phony, his desperation is real.  #Ukraine. #Russia   http://t.co/TsAWjQJo13",,"Ohio, USA",HCMess
Fri Apr 04 13:09:00 +0000 2014,452070328974716928,Russia meets London: @ZDDZ_LONDON AW14 at @MBFWR &gt; https://t.co/gWAzz5Exme &lt; http://t.co/bJ1vmK3J8l,"{u'type': u'Point', u'coordinates': [-73.954900069999994, 40.59728647]}",New York Toronto,goMainstream
Fri Apr 04 13:09:00 +0000 2014,452070331411611648,RT @HuffPostUK: The Force is not with him: Darth Vader rejected in Ukraine presidency bid http://t.co/fS4Eju8jFW http://t.co/Q6hm7jwK4A,,"New York, Paris, London",MagnoliaBooks
Fri Apr 04 13:09:01 +0000 2014,452070332682477568,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/ZgAJkcwVyZ #ElQueTrabajaVence #ConstruyendoLaPatria",,Caracas,AbrebreCaracas
Fri Apr 04 13:09:01 +0000 2014,452070333257113600,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/PO6MxtZIME #ElQueTrabajaVence #ConstruyendoLaPatria",,,AbrebrechaBarc
Fri Apr 04 13:09:01 +0000 2014,452070333672337408,What's next for Ukraine? http://t.co/avPoORCpyJ,,"Washington, DC",thehill
Fri Apr 04 13:09:01 +0000 2014,452070333856899073,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/GfjTWhEqYX #ElQueTrabajaVence #ConstruyendoLaPatria",,,AbrebrechaSanJu
Fri Apr 04 13:09:01 +0000 2014,452070334725107712,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/0EkOPHIeVm #ElQueTrabajaVence #ConstruyendoLaPatria",,Tucupita,AbrebrechaTucup
Fri Apr 04 13:09:01 +0000 2014,452070335136157696,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/98lrWBX3fl #ElQueTrabajaVence #ConstruyendoLaPatria",,Sucre,abrecumana
Fri Apr 04 13:09:01 +0000 2014,452070335861764096,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/cYa3e9Rrfq #ElQueTrabajaVence #ConstruyendoLaPatria",,,amazabrebrecha
Fri Apr 04 13:09:01 +0000 2014,452070336230875136,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/stUpBnoTLR #ElQueTrabajaVence #ConstruyendoLaPatria",,,anzoabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070337422036992,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/WYn4xZnCog #ElQueTrabajaVence #ConstruyendoLaPatria",,,aragabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070337484562432,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/sfhFIICYqs #ElQueTrabajaVence #ConstruyendoLaPatria",,,apurabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070337967325184,RT @interfaxua: ЕБРР может выделить до EUR150 млн на поддержку существующих клиентов в Украине http://t.co/prrWc3vJS5 #ukraine,,Євпаторія-Монастириськи-Київ,sofiyka84
Fri Apr 04 13:09:02 +0000 2014,452070338424504320,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/dbftD5UUmq #ElQueTrabajaVence #ConstruyendoLaPatria",,,bariabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070338541936640,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/MeFCaxtm3u #ElQueTrabajaVence #ConstruyendoLaPatria",,,boliabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070337862434816,RT @Independent: Russia has told the US 'Do some yoga and relax' over Crimea http://t.co/i16CNRXBcY http://t.co/8G50NngY21,,,moziggy
Fri Apr 04 13:09:02 +0000 2014,452070340253208576,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/f53KpplNd7 #ElQueTrabajaVence #ConstruyendoLaPatria",,,caraabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070340387409921,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/5Lq80JkoRn #ElQueTrabajaVence #ConstruyendoLaPatria",,,guarabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070340412571650,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/J0b4iVMoHj #ElQueTrabajaVence #ConstruyendoLaPatria",,,laraabrebrecha
Fri Apr 04 13:09:02 +0000 2014,452070340634902528,RT @HuffingtonPost: McDonald's suspends work in Crimea http://t.co/qTChj5WzTh,,,MrKulatOTHS
Fri Apr 04 13:09:03 +0000 2014,452070341305966592,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/wYqffNX5G9 #ElQueTrabajaVence #ConstruyendoLaPatria",,,meriabrebrecha
Fri Apr 04 13:09:03 +0000 2014,452070342706860032,Срок пребывания граждан России в Украине ограничат с 7 апреля http://t.co/pu8tMjGOWd,,,PoliticUkr
Fri Apr 04 13:09:03 +0000 2014,452070343164035073,I want to be China. Russia and the U.S. argue; China gets rich funding both sides of the argument.,,"Shakopee, MN",fishwrench
Fri Apr 04 13:09:03 +0000 2014,452070343264702464,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/41sMnF6Ajp #ElQueTrabajaVence #ConstruyendoLaPatria",,,vargabrebrecha
Fri Apr 04 13:09:03 +0000 2014,452070343310839808,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/mz7pYn76JS #ElQueTrabajaVence #ConstruyendoLaPatria",,Cumaná,taniav1986
Fri Apr 04 13:09:03 +0000 2014,452070343382147072,"Rusia previno en Crimea ataques de extremistas, según Ministro http://t.co/IrAThHONo1 #ElQueTrabajaVence #ConstruyendoLaPatria",,Maracaibo,yessica8735
